SchoolDistrict,TotalPop,White,NonWhite,WhiteOrNonLatino%,NonWhiteOrLatino%
Oakland Unified ,432155.0,126483.0,305672.0,0.29267970982633545,0.7073202901736645
Oceanside Unified ,137299.0,56039.0,81260.0,0.40815300912606794,0.5918469908739321
Orange Unified ,222655.0,88502.0,134153.0,0.39748489816083177,0.6025151018391682
Pajaro Valley Joint Unified ,110620.0,38947.0,71673.0,0.3520791900198879,0.6479208099801121
Palm Springs Unified ,172144.0,78449.0,93695.0,0.4557173064411191,0.5442826935588809
Palo Alto Unified ,86179.0,44369.0,41810.0,0.5148470044906531,0.4851529955093468
Paramount Unified ,79098.0,4871.0,74227.0,0.0615818351917874,0.9384181648082126
Pasadena Unified ,209755.0,82708.0,127047.0,0.39430764463302426,0.6056923553669757
Placentia-Yorba Linda Unified ,164068.0,80323.0,83745.0,0.4895713972255406,0.5104286027744593
Pomona Unified ,167431.0,20509.0,146922.0,0.12249225053902801,0.877507749460972
Poway Unified ,207252.0,111971.0,95281.0,0.5402649914114218,0.45973500858857813
Redlands Unified ,125864.0,63297.0,62567.0,0.502899955507532,0.4971000444924681
Rialto Unified ,127846.0,11777.0,116069.0,0.09211864274204903,0.9078813572579509
West Contra Costa Unified ,255228.0,57040.0,198188.0,0.2234864513297914,0.7765135486702086
Riverside Unified ,273922.0,86982.0,186940.0,0.3175429501828988,0.6824570498171012
Rowland Unified ,104527.0,7715.0,96812.0,0.07380868101064797,0.926191318989352
Sacramento City Unified ,340967.0,125166.0,215801.0,0.3670912434341153,0.6329087565658846
Saddleback Valley Unified ,221561.0,127904.0,93657.0,0.5772857136409386,0.4227142863590614
San Bernardino City Unified ,274310.0,34539.0,239771.0,0.1259122890160767,0.8740877109839233
San Diego City Unified ,1104331.0,488319.0,616012.0,0.4421853592808678,0.5578146407191322
San Francisco Unified ,881549.0,351010.0,530539.0,0.3981741230493143,0.6018258769506857
San Jose Unified ,267670.0,98358.0,169312.0,0.36745993200582805,0.632540067994172
