DName,Enroll12,NumTSTTakr12,NumERWBenchmark12,NumMathBenchmark12,TotNumBothBenchmark12,PctTstTakers,PctERWBenchmark12,PctMathBenchmark12,PctBothBenchmark12,SchoolDistrict,TotalPop,White,NonWhite,WhiteOrNonLatino%,NonWhiteOrLatino%,PctDiv,DiversityCat
Livermore Valley Joint Unified,2132,625,554.0,490.0,460.0,0.29315196998123827,0.8864,0.784,0.736,Livermore Valley Joint Unified,91973.0,52669.0,39304.0,0.572657192871821,0.4273428071281789,0.42734280712817896,0
Lodi Unified,4512,1447,1091.0,868.0,810.0,0.3207003546099291,0.7539737387698687,0.5998617829993089,0.5597788527988943,Lodi Unified,176469.0,67364.0,109105.0,0.3817327689282537,0.6182672310717463,0.6182672310717463,1
Long Beach Unified,11032,7399,4163.0,2657.0,2528.0,0.6706852791878173,0.5626436004865523,0.35910258142992296,0.34166779294499255,Long Beach Unified,518640.0,152395.0,366245.0,0.29383580132654635,0.7061641986734537,0.7061641986734537,2
Los Angeles Unified,79624,39743,20819.0,11932.0,10958.0,0.4991334271074048,0.52384067634552,0.30022897113957175,0.2757215107062879,Los Angeles Unified,4746546.0,1215397.0,3531149.0,0.2560592481353809,0.7439407518646189,0.743940751864619,2
Lucia Mar Unified,1655,404,352.0,242.0,240.0,0.24410876132930515,0.8712871287128713,0.599009900990099,0.594059405940594,Lucia Mar Unified,80747.0,53119.0,27628.0,0.6578448734937521,0.3421551265062479,0.3421551265062479,0
Manteca Unified,3628,1054,762.0,406.0,388.0,0.29051819184123484,0.7229601518026565,0.38519924098671726,0.3681214421252372,Manteca Unified,142506.0,43861.0,98645.0,0.30778353192146296,0.6922164680785371,0.692216468078537,2
Milpitas Unified,1591,670,594.0,518.0,498.0,0.42111879321181644,0.8865671641791045,0.7731343283582089,0.7432835820895523,Milpitas Unified,83076.0,10956.0,72120.0,0.13187924310270113,0.8681207568972988,0.8681207568972988,3
Montebello Unified,4356,1316,830.0,458.0,422.0,0.3021120293847567,0.6306990881458967,0.34802431610942247,0.32066869300911854,Montebello Unified,160778.0,8109.0,152669.0,0.050436004926047086,0.949563995073953,0.949563995073953,3
Monterey Peninsula Unified,1623,1071,621.0,398.0,362.0,0.6598890942698706,0.5798319327731093,0.3716153127917834,0.33800186741363214,Monterey Peninsula Unified,91968.0,45643.0,46325.0,0.4962921885873347,0.5037078114126653,0.5037078114126653,1
Moreno Valley Unified,4950,3983,1517.0,689.0,639.0,0.8046464646464646,0.3808686919407482,0.172985187044941,0.1604318353000251,Moreno Valley Unified,183708.0,29012.0,154696.0,0.15792453241012913,0.8420754675898708,0.8420754675898708,3
